datetime,coord_lon,coord_lat,weather_id,weather_main,weather_description,weather_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
2024-08-13 05:27:11,-79.3538,43.6543,802,Clouds,scattered clouds,03n,stations,291.12,291.06,290.36,292.22,1018,80,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 05:30:01,-79.347,43.6511,802,Clouds,scattered clouds,03n,stations,291.15,291.07,290.38,292.23,1018,79,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 05:35:02,-79.347,43.6511,802,Clouds,scattered clouds,03n,stations,291.03,291.01,289.33,292.12,1018,82,1018,1005,10000,2.57,330,N/A,40,1,718,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 05:40:01,-79.3488,43.6459,802,Clouds,scattered clouds,03n,stations,291.19,291.11,290.37,292.11,1018,79,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 05:45:02,-79.3488,43.6459,802,Clouds,scattered clouds,03n,stations,291.19,291.11,290.37,292.11,1018,79,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 05:50:01,-79.3538,43.6543,802,Clouds,scattered clouds,03n,stations,291.01,290.99,289.69,292.1,1018,82,1018,1005,10000,2.57,330,N/A,40,1,718,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 06:00:02,-79.347,43.6511,802,Clouds,scattered clouds,03n,stations,291.38,291.35,290.38,292.12,1018,80,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 06:05:01,-79.347,43.6511,802,Clouds,scattered clouds,03n,stations,291.38,291.35,290.38,292.12,1018,80,1018,1005,10000,2.57,330,N/A,40,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 06:10:01,-79.3488,43.6459,800,Clear,clear sky,01n,stations,291.58,291.59,290.43,291.67,1018,81,1018,1005,10000,3.07,320,6.33,7,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 06:12:01,-79.3488,43.6459,800,Clear,clear sky,01n,stations,291.58,291.59,290.43,291.67,1018,81,1018,1005,10000,3.07,320,6.33,7,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 06:14:02,-79.3488,43.6459,800,Clear,clear sky,01n,stations,291.58,291.59,290.43,291.67,1018,81,1018,1005,10000,3.07,320,6.33,7,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 06:16:01,-79.3488,43.6459,800,Clear,clear sky,01n,stations,291.58,291.59,290.43,291.67,1018,81,1018,1005,10000,3.07,320,6.33,7,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 06:18:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.53,291.51,290.26,292.12,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:20:02,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.53,291.51,290.26,292.12,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:22:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.53,291.51,290.26,292.12,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:24:02,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.51,291.49,290.25,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:26:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.51,291.49,290.25,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:28:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.51,291.49,290.25,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:30:02,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.65,291.62,290.97,292.1,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 06:32:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.65,291.62,290.97,292.1,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 06:34:02,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.65,291.62,290.97,292.1,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 06:36:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:38:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:40:02,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:42:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:44:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:46:02,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:48:01,-79.347,43.6511,804,Clouds,overcast clouds,04n,stations,291.67,291.64,290.99,292.12,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544422,1723595050,-14400,6167863,Downtown Toronto,200
2024-08-13 06:50:02,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.59,291.58,290.8,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:52:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.59,291.58,290.8,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:54:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.59,291.58,290.8,292.1,1018,80,1018,1005,10000,3.09,330,N/A,100,1,718,CA,1723544423,1723595052,-14400,6167863,Downtown Toronto,200
2024-08-13 06:56:01,-79.3488,43.6459,804,Clouds,overcast clouds,04n,stations,291.68,291.65,290.98,292.11,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595049,-14400,6167863,Downtown Toronto,200
2024-08-13 06:58:01,-79.3488,43.6459,804,Clouds,overcast clouds,04n,stations,291.68,291.65,290.98,292.11,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595049,-14400,6167863,Downtown Toronto,200
2024-08-13 07:00:02,-79.3488,43.6459,804,Clouds,overcast clouds,04n,stations,291.68,291.65,290.98,292.11,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595049,-14400,6167863,Downtown Toronto,200
2024-08-13 07:02:01,-79.3488,43.6459,804,Clouds,overcast clouds,04n,stations,291.68,291.65,290.98,292.11,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595049,-14400,6167863,Downtown Toronto,200
2024-08-13 07:04:01,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.65,291.62,290.97,292.1,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 07:06:02,-79.3538,43.6543,804,Clouds,overcast clouds,04n,stations,291.65,291.62,290.97,292.1,1018,79,1018,1005,10000,3.09,330,N/A,100,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
2024-08-13 14:06:02,-79.3522,43.6511,803,Clouds,broken clouds,04d,stations,295.34,295.31,294.37,297.02,1019,65,1019,1007,10000,1.75,320,3.63,65,2,2040045,CA,1723544423,1723595051,-14400,6176177,Ward's Island,200
2024-08-13 14:08:02,-79.3522,43.6511,803,Clouds,broken clouds,04d,stations,295.34,295.31,294.37,297.02,1019,65,1019,1007,10000,1.75,320,3.63,65,2,2040045,CA,1723544423,1723595051,-14400,6176177,Ward's Island,200
2024-08-13 14:10:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.64,296.64,295.99,297.23,1019,61,1019,1007,10000,0.45,278,2.24,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:12:02,-79.3488,43.6459,803,Clouds,broken clouds,04d,stations,296.64,296.64,295.98,297.23,1019,61,1019,1007,10000,0.45,278,2.24,65,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 14:14:01,-79.3488,43.6459,803,Clouds,broken clouds,04d,stations,296.64,296.64,295.98,297.23,1019,61,1019,1007,10000,0.45,278,2.24,65,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 14:16:01,-79.3488,43.6459,803,Clouds,broken clouds,04d,stations,296.64,296.64,295.98,297.23,1019,61,1019,1007,10000,0.45,278,2.24,65,2,2040045,CA,1723544423,1723595049,-14400,6176177,Ward's Island,200
2024-08-13 14:18:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,295.25,295.16,294.47,297.59,1019,63,1019,1007,10000,0.45,23,1.79,65,2,2095531,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:20:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,295.25,295.16,294.47,297.59,1019,63,1019,1007,10000,0.45,23,1.79,65,2,2095531,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:22:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,295.25,295.16,294.47,297.59,1019,63,1019,1007,10000,0.45,23,1.79,65,2,2095531,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:24:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,295.25,295.16,294.47,297.59,1019,63,1019,1007,10000,0.45,23,1.79,65,2,2095531,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:26:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,295.25,295.16,294.47,297.59,1019,63,1019,1007,10000,0.45,23,1.79,65,2,2095531,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:28:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.05,295.99,295.03,297.59,1019,61,1019,1007,10000,0.45,68,1.79,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:30:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.05,295.99,295.03,297.59,1019,61,1019,1007,10000,0.45,68,1.79,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:32:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.05,295.99,295.03,297.59,1019,61,1019,1007,10000,0.45,68,1.79,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:34:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.05,295.99,295.03,297.59,1019,61,1019,1007,10000,0.45,68,1.79,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:36:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.05,295.99,295.03,297.59,1019,61,1019,1007,10000,0.45,68,1.79,65,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:38:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.06,296,295.03,297.78,1019,61,1019,1007,10000,1.41,308,3.05,68,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:40:01,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.06,296,295.03,297.78,1019,61,1019,1007,10000,1.41,308,3.05,68,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:42:02,-79.347,43.6511,803,Clouds,broken clouds,04d,stations,296.06,296,295.03,297.78,1019,61,1019,1007,10000,1.41,308,3.05,68,2,2040045,CA,1723544422,1723595050,-14400,6176177,Ward's Island,200
2024-08-13 14:44:01,-79.3538,43.6543,803,Clouds,broken clouds,04d,stations,296.03,295.99,295.01,297.77,1019,62,1019,1007,10000,1.41,308,3.05,68,2,2040045,CA,1723544423,1723595052,-14400,6176177,Ward's Island,200
